sample_id	major_species	abundance	taxid	phylum	class	order	family	genus	species
SAMN06269117	Desulfurobacterium thermolithotrophum	26.122	64160	Aquificae	Aquificae	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacterium	Desulfurobacterium thermolithotrophum
SAMN02256460	Mariprofundus ferrinatatus	26.205	1921087	Proteobacteria	Zetaproteobacteria	Mariprofundales	Mariprofundaceae	Mariprofundus	Mariprofundus ferrinatatus
SAMN02923806	Ezakiella massiliensis	26.244	1852374	Firmicutes	Tissierellia			Ezakiella	Ezakiella massiliensis
SAMN02745066	Polaromonas naphthalenivorans	26.295	216465	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas	Polaromonas naphthalenivorans
SAMN02745452	Candidatus Nucleicultrix amoebiphila	26.347	1509244	Proteobacteria	Alphaproteobacteria	Holosporales	Caedimonadaceae	Candidatus Nucleicultrix	Candidatus Nucleicultrix amoebiphila
SAMN02745508	Arcticibacterium luteifluviistationis	26.366	1784714	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Arcticibacterium	Arcticibacterium luteifluviistationis
SAMN00102821	Cellulosilyticum lentocellum	26.457000000000004	29360	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Cellulosilyticum	Cellulosilyticum lentocellum
SAMN05421644	Allochromatium vinosum	26.461	1049	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Allochromatium	Allochromatium vinosum
SAMN06289276	Endozoicomonas montiporae	26.540000000000003	1027273	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Endozoicomonadaceae	Endozoicomonas	Endozoicomonas montiporae
SAMN02746001	Rufibacter sp. DG31D	27.096	1379910	Bacteroidetes	Cytophagia	Cytophagales	Hymenobacteraceae	Rufibacter	Rufibacter sp. DG31D
SAMN05192560	Methylobacillus flagellatus	27.316	405	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Methylobacillus	Methylobacillus flagellatus
SAMN02261341	Anabaena cylindrica	27.326	1165	Cyanobacteria		Nostocales	Nostocaceae	Anabaena	Anabaena cylindrica
SAMN02194236	Paucibacter sp. KCTC 42545	27.83	1768242	Proteobacteria	Betaproteobacteria	Burkholderiales		Paucibacter	Paucibacter sp. KCTC 42545
SAMN09075504	Hydromonas sp. F02	28.218	2268024	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ephemeroptericola	Ephemeroptericola cinctiostellae
SAMN02744601	Riemerella anatipestifer	28.682	34085	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Riemerella	Riemerella anatipestifer
SAMN02261251	Scytonema sp. HK-05	28.958	1137095	Cyanobacteria		Nostocales	Scytonemataceae	Scytonema	Scytonema sp. HK-05
SAMN08201030	Spiroplasma citri	29.171	2133	Tenericutes	Mollicutes	Entomoplasmatales	Spiroplasmataceae	Spiroplasma	Spiroplasma citri
SAMN06320185	Ammonifex degensii	29.486	42838	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Ammonifex	Ammonifex degensii
SAMN09062770	Verrucomicrobium spinosum	29.846	2736	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Verrucomicrobium	Verrucomicrobium spinosum
SAMN07838523	Ignavibacterium album	29.857	591197	Ignavibacteriae	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Ignavibacterium	Ignavibacterium album
SAMN02745945	Peptoclostridium acidaminophilum	29.87	1731	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptoclostridium	Peptoclostridium acidaminophilum
SAMN07501428	Pseudoclostridium thermosuccinogenes	30.019	84032	Firmicutes	Clostridia	Clostridiales	Hungateiclostridiaceae	Pseudoclostridium	Pseudoclostridium thermosuccinogenes
SAMN02199145	Ramlibacter tataouinensis	30.118	94132	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	Ramlibacter tataouinensis
SAMN03031236	Paenarthrobacter aurescens	30.173	43663	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Paenarthrobacter	Paenarthrobacter aurescens
SAMN05660826	Thermosediminibacter oceani	30.447	291990	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Thermosediminibacter	Thermosediminibacter oceani
SAMN02440771	Runella slithyformis	30.49	106	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Runella	Runella slithyformis
SAMN07620951	Woeseia oceani	31.043	1548547	Proteobacteria	Gammaproteobacteria	Chromatiales	Woeseiaceae	Woeseia	Woeseia oceani
SAMN02910383	Beijerinckia indica	31.255	533	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Beijerinckia	Beijerinckia indica
SAMN07621485	Maribacter sp. T28	31.698	1836467	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Maribacter	Maribacter sp. T28
SAMN05880591	Niveispirillum cyanobacteriorum	32.413	1612173	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Niveispirillum	Niveispirillum cyanobacteriorum
SAMN08537571	Chlorobium phaeobacteroides	32.475	1096	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	Chlorobium phaeobacteroides
SAMN02194989	Thermodesulfatator indicus	32.785	171695	Thermodesulfobacteria	Thermodesulfobacteria	Thermodesulfobacteriales	Thermodesulfobacteriaceae	Thermodesulfatator	Thermodesulfatator indicus
SAMN05192558	Alloactinosynnema sp. L-07	33.22	1653480	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Alloactinosynnema	Alloactinosynnema sp. L-07
SAMN04489712	Thermomonospora curvata	33.257	2020	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Thermomonospora	Thermomonospora curvata
SAMN06453974	Aminobacterium colombiense	33.333	81468	Synergistetes	Synergistia	Synergistales	Synergistaceae	Aminobacterium	Aminobacterium colombiense
SAMN08770174	Gluconacetobacter diazotrophicus	33.767	33996	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconacetobacter	Gluconacetobacter diazotrophicus
SAMN02744711	Syntrophothermus lipocalidus	33.927	86170	Firmicutes	Clostridia	Clostridiales	Syntrophomonadaceae	Syntrophothermus	Syntrophothermus lipocalidus
SAMN06266871	Herbinix luporum	33.937	1679721	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Herbinix	Herbinix luporum
SAMN06320192	Pelobacter acetylenicus	34.162	29542	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Pelobacter	Pelobacter acetylenicus
SAMN07622187	Sideroxydans lithotrophicus	34.194	63745	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Gallionellaceae	Sideroxydans	Sideroxydans lithotrophicus
SAMN06173316	Mobiluncus curtisii	34.203	2051	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Mobiluncus	Mobiluncus curtisii
SAMN02745332	Symbiobacterium thermophilum	34.394	2734	Firmicutes	Clostridia	Clostridiales	Symbiobacteriaceae	Symbiobacterium	Symbiobacterium thermophilum
SAMN08777574	Cellvibrio sp. PSBB023	34.575	1945512	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	Cellvibrio sp. PSBB023
SAMEA2201859	Ndongobacter massiliensis	34.959	1871025	Firmicutes				Ndongobacter	Ndongobacter massiliensis
SAMN04515665	Blastococcus saxobsidens	35.14	138336	Actinobacteria	Actinobacteria	Geodermatophilales	Geodermatophilaceae	Blastococcus	Blastococcus saxobsidens
SAMN06264853	Marinifilaceae bacterium SPP2	35.207	1717717	Bacteroidetes	Bacteroidia	Marinilabiliales	Marinifilaceae	Labilibaculum	Labilibaculum antarcticum
SAMN06314132	Conexibacter woesei	35.628	191495	Actinobacteria	Thermoleophilia	Solirubrobacterales	Conexibacteraceae	Conexibacter	Conexibacter woesei
SAMN02199137	Aequorivita sublithincola	35.808	101385	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aequorivita	Aequorivita sublithincola
SAMN02261317	Methylovulum psychrotolerans	36.667	1704499	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylovulum	Methylovulum psychrotolerans
SAMN06296013	Polynucleobacter necessarius	37.117	576610	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter	Polynucleobacter necessarius
SAMN02744835	Sulfuricaulis limicola	37.246	1620215	Proteobacteria	Gammaproteobacteria	Acidiferrobacterales	Acidiferrobacteraceae	Sulfuricaulis	Sulfuricaulis limicola
SAMN05720340	Hydrogenovibrio crunogenus	38.01	39765	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Hydrogenovibrio	Hydrogenovibrio crunogenus
SAMEA79010668	Sinomonas atrocyanea	38.483	37927	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Sinomonas	Sinomonas atrocyanea
SAMN06265182	Persephonella marina	38.734	309805	Aquificae	Aquificae	Aquificales	Hydrogenothermaceae	Persephonella	Persephonella marina
SAMN08770185	Blastomonas sp. RAC04	39.06	1842535	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Blastomonas	Blastomonas sp. RAC04
SAMN04489760	Syntrophus aciditrophicus	39.133	316277	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae	Syntrophus	Syntrophus aciditrophicus
SAMN02440603	Sedimenticola thiotaurini	39.719	1543721	Proteobacteria	Gammaproteobacteria			Sedimenticola	Sedimenticola thiotaurini
SAMN02361231	Mogibacterium pumilum	40.567	86332	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XIII. Incertae Sedis	Mogibacterium	Mogibacterium pumilum
SAMN02198983	Leminorella richardii	40.698	158841	Proteobacteria	Gammaproteobacteria	Enterobacterales	Budviciaceae	Leminorella	Leminorella richardii
SAMN05660859	Starkeya novella	41.053	921	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Starkeya	Starkeya novella
SAMN02256451	Candidatus Thiodictyon syntrophicum	41.077000000000005	1166950	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiodictyon	Candidatus Thiodictyon syntrophicum
SAMN02745370	Porphyrobacter sp. CACIAM 03H1	41.173	2003315	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Porphyrobacter	Porphyrobacter sp. CACIAM 03H1
SAMN06265353	Hydrogenobacter thermophilus	42.261	940	Aquificae	Aquificae	Aquificales	Aquificaceae	Hydrogenobacter	Hydrogenobacter thermophilus
SAMN02597189	Tolumonas auensis	42.317	43948	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Tolumonas	Tolumonas auensis
SAMN06318805	Sandaracinus amylolyticus	42.816	927083	Proteobacteria	Deltaproteobacteria	Myxococcales	Sandaracinaceae	Sandaracinus	Sandaracinus amylolyticus
SAMN03159434	Phytobacter sp. SCO41	43.175	1756993	Proteobacteria	Gammaproteobacteria	Enterobacterales		Phytobacter	Phytobacter sp. SCO41
SAMN01041250	Onion yellows phytoplasma	43.179	100379	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Candidatus Phytoplasma	Onion yellows phytoplasma
SAMN08565656	Herminiimonas arsenicoxydans	43.787	204773	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herminiimonas	Herminiimonas arsenicoxydans
SAMN02744071	Luteitalea pratensis	43.808	1855912	Acidobacteria	Vicinamibacteria		Vicinamibacteraceae	Luteitalea	Luteitalea pratensis
SAMN02744802	Desulfocapsa sulfexigens	44.214	65555	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfocapsa	Desulfocapsa sulfexigens
SAMEA3642966	Marmoricola scoriae	44.673	642780	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola	Marmoricola scoriae
SAMN02743345	Methylosinus trichosporium	44.937	426	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Methylosinus	Methylosinus trichosporium
SAMN07621195	Algoriphagus sp. M8-2	45.31	1727163	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Algoriphagus	Algoriphagus sanaruensis
SAMN03436215	Kytococcus sedentarius	45.497	1276	Actinobacteria	Actinobacteria	Micrococcales	Dermacoccaceae	Kytococcus	Kytococcus sedentarius
SAMN04488123	Ruegeria sp. NKC1-1	45.719	2099786	Firmicutes	Bacilli	Bacillales	Bacillaceae	Salicibibacter	Salicibibacter kimchii
SAMN03842091	Anaerococcus prevotii	45.86	33034	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus prevotii
SAMEA1032401	Oceanisphaera avium	45.864	1903694	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Oceanisphaera	Oceanisphaera avium
SAMN04488245	Yangia pacifica	46.026	311180	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Yangia	Yangia pacifica
SAMN06453970	Brevefilum fermentans	46.278	1986204	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Brevefilum	Brevefilum fermentans
SAMN09579956	Rhodovulum sulfidophilum	46.593	35806	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodovulum	Rhodovulum sulfidophilum
SAMN09065087	Phyllobacterium zundukense	46.761	1867719	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Phyllobacterium	Phyllobacterium zundukense
SAMN06891246	Advenella kashmirensis	47.174	310575	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Advenella	Advenella kashmirensis
SAMEA4003649	Arsenicicoccus sp. oral taxon 190	47.43	1658671	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Arsenicicoccus	Arsenicicoccus sp. oral taxon 190
SAMN02666715	Acidiphilium cryptum	47.847	524	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium cryptum
SAMN05519226	Cycloclasticus zancles	48.486	1329899	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus	Cycloclasticus zancles
SAMN08778656	Phreatobacter cathodiphilus	48.711	1868589	Proteobacteria	Alphaproteobacteria			Phreatobacter	Phreatobacter cathodiphilus
SAMEA3725545	[Clostridium] innocuum	49.304	1522	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	[Clostridium] innocuum
SAMN02597282	Microvirga ossetica	49.939	1882682	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Microvirga	Microvirga ossetica
SAMD00008974	Tetragenococcus halophilus	50.036	51669	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Tetragenococcus	Tetragenococcus halophilus
SAMN05446813	Dyella japonica	50.446000000000005	231455	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dyella	Dyella japonica
SAMN02256405	Methylotenera mobilis	50.749	359408	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Methylotenera	Methylotenera mobilis
SAMN02440814	Agrococcus carbonis	50.76	684552	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Agrococcus	Agrococcus carbonis
SAMN09074860	Alkalilimnicola ehrlichii	51.264	351052	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Alkalilimnicola	Alkalilimnicola ehrlichii
SAMEA3643196	Phycicoccus dokdonensis	51.69	443156	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Phycicoccus	Phycicoccus dokdonensis
SAMEA3492688	Labrenzia aggregata	52.705	187304	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Labrenzia	Labrenzia aggregata
SAMN02194530	Hirschia baltica	52.738	2724	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	Hirschia	Hirschia baltica
SAMN08778888	Hymenobacter sp. DG25A	53.345	1385663	Bacteroidetes	Cytophagia	Cytophagales	Hymenobacteraceae	Hymenobacter	Hymenobacter sp. DG25A
SAMN02194802	Marinobacterium aestuarii	53.376000000000005	1821621	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinobacterium	Marinobacterium aestuarii
SAMN02440500	Aureimonas sp. AU20	53.576	1349819	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	Aureimonas	Aureimonas sp. AU20
SAMN05421756	Friedmanniella sagamiharensis	53.699	546874	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Friedmanniella	Friedmanniella sagamiharensis
SAMN05428960	Mitsuaria sp. 7	53.735	1658665	Proteobacteria	Betaproteobacteria	Burkholderiales		Mitsuaria	Mitsuaria sp. 7
SAMN02194209	Yoonia vestfoldensis	53.917	245188	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Yoonia	Yoonia vestfoldensis
SAMN08777569	Asticcacaulis excentricus	54.652	78587	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	Asticcacaulis excentricus
SAMN06297061	Nonomuraea sp. ATCC 55076	54.995	1909395	Actinobacteria	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Nonomuraea	Nonomuraea sp. ATCC 55076
SAMN06295967	Belliella baltica	55.145	232259	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Belliella	Belliella baltica
SAMN02194611	Oceanimonas sp. GK1	55.146	511062	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Oceanimonas	Oceanimonas sp. GK1
SAMN08775161	Microterricola viridarii	55.306	412690	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microterricola	Microterricola viridarii
SAMN04488078	Antarctobacter heliothermus	55.542	74033	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Antarctobacter	Antarctobacter heliothermus
SAMN03246068	Tateyamaria omphalii	55.863	299262	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Tateyamaria	Tateyamaria omphalii
SAMN04580810	Thalassolituus oleivorans	56.039	187493	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Thalassolituus	Thalassolituus oleivorans
SAMEA1405469	Zobellella denitrificans	56.061	347534	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Zobellella	Zobellella denitrificans
SAMN04498914	Christensenella massiliensis	57.561	1805714	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenella	Christensenella massiliensis
SAMN09075503	Aquaspirillum sp. LM1	57.897	1938604	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Aquaspirillum	Aquaspirillum sp. LM1
SAMN02746006	Candidatus Puniceispirillum marinum	59.419	767892	Proteobacteria	Alphaproteobacteria			Candidatus Puniceispirillum	Candidatus Puniceispirillum marinum
SAMN04487800	Snodgrassella alvi	59.422	1196083	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Snodgrassella	Snodgrassella alvi
SAMN08776295	Lentzea guizhouensis	59.612	1586287	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Lentzea	Lentzea guizhouensis
SAMN02597196	Pseudogulbenkiania sp. NH8B	59.773	748280	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Pseudogulbenkiania	Pseudogulbenkiania sp. NH8B
SAMN07501387	Syntrophomonas wolfei	60.499	863	Firmicutes	Clostridia	Clostridiales	Syntrophomonadaceae	Syntrophomonas	Syntrophomonas wolfei
SAMN06213931	Kribbella flavida	60.901	182640	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Kribbella	Kribbella flavida
SAMN05444281	Wenyingzhuangia fucanilytica	62.169	1790137	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Wenyingzhuangia	Wenyingzhuangia fucanilytica
SAMN02745975	Geosporobacter ferrireducens	62.253	1424294	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Geosporobacter	Geosporobacter ferrireducens
SAMN02198987	Stappia sp. ES.058	62.259	1881061	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Stappia	Stappia sp. ES.058
SAMD00003289	Obesumbacterium proteus	62.522	82983	Proteobacteria	Gammaproteobacteria	Enterobacterales	Hafniaceae	Obesumbacterium	Obesumbacterium proteus
SAMN06453967	Candidatus Koribacter versatilis	63.107	658062	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Candidatus Koribacter	Candidatus Koribacter versatilis
SAMN07312426	Pantoea calida	63.858	665913	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Mixta	Mixta calida
SAMEA3448420	Limnohabitans sp. 63ED37-2	63.99399999999999	1678128	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans	Limnohabitans sp. 63ED37-2
SAMN08778573	Kordia sp. SMS9	64.274	2282170	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Kordia	Kordia sp. SMS9
SAMN05216238	Lentibacillus amyloliquefaciens	64.373	1472767	Firmicutes	Bacilli	Bacillales	Bacillaceae	Lentibacillus	Lentibacillus amyloliquefaciens
SAMEA3642848	Pseudarthrobacter equi	64.874	728066	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Pseudarthrobacter	Pseudarthrobacter equi
SAMN03943231	Shinella sp. HZN7	67.217	879274	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Shinella	Shinella sp. HZN7
SAMN05661096	Marivirga tractuosa	67.305	1006	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Marivirga	Marivirga tractuosa
SAMN05421595	Austwickia chelonae	68.257	100225	Actinobacteria	Actinobacteria	Micrococcales	Dermatophilaceae	Austwickia	Austwickia chelonae
SAMN02440712	Acetobacterium sp. KB-1	68.708	2184575	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Acetobacterium	Acetobacterium sp. KB-1
SAMN08769778	Maricaulis maris	69.173	74318	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	Maricaulis	Maricaulis maris
SAMN03840667	Chelatococcus daeguensis	71.202	444444	Proteobacteria	Alphaproteobacteria	Rhizobiales	Chelatococcaceae	Chelatococcus	Chelatococcus daeguensis
SAMN02199248	Serinicoccus sp. JLT9	71.495	1758689	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Serinicoccus	Serinicoccus sp. JLT9
SAMN00839618	Neorhizobium galegae	72.72800000000001	399	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Neorhizobium	Neorhizobium galegae
SAMN08778907	Luteibacter rhizovicinus	72.875	242606	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Luteibacter	Luteibacter rhizovicinus
SAMN05443639	Stigmatella aurantiaca	73.129	41	Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Stigmatella	Stigmatella aurantiaca
SAMN09769431	Herbaspirillum hiltneri	73.91	341045	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum	Herbaspirillum hiltneri
SAMN02256431	Methylocystis sp. SC2	73.913	187303	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Methylocystis	Methylocystis sp. SC2
SAMN06213936	Kibdelosporangium phytohabitans	74.241	860235	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Kibdelosporangium	Kibdelosporangium phytohabitans
SAMN09780794	Thermaerobacter marianensis	74.901	73919	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XVII. Incertae Sedis	Thermaerobacter	Thermaerobacter marianensis
SAMN02923804	Negativicoccus massiliensis	75.593	1702287	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Negativicoccus	Negativicoccus massiliensis
SAMN04515619	Collimonas fungivorans	76.825	158899	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Collimonas	Collimonas fungivorans
SAMN08125768	Paraglaciecola psychrophila	77.789	326544	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Paraglaciecola	Paraglaciecola psychrophila
SAMN07782285	Janthinobacterium sp. B9-8	78.08800000000001	1236179	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	Janthinobacterium sp. B9-8
SAMN07280044	Sulfuricurvum kujiense	78.206	148813	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfuricurvum	Sulfuricurvum kujiense
SAMN02441182	Jeotgalicoccus saudimassiliensis	78.315	1461582	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Jeotgalicoccus	Jeotgalicoccus saudimassiliensis
SAMN04198240	Glutamicibacter arilaitensis	78.757	256701	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Glutamicibacter	Glutamicibacter arilaitensis
SAMN06473672	Gordonibacter urolithinfaciens	79.799	1335613	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Gordonibacter	Gordonibacter urolithinfaciens
SAMN02232029	Halothece sp. PCC 7418	80.392	65093	Cyanobacteria		Chroococcales	Aphanothecaceae	Halothece	Halothece sp. PCC 7418
SAMN05421829	Azoarcus sp. CIB	80.433	198107	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Azoarcus	Azoarcus sp. CIB
SAMEA3642996	Methylibium petroleiphilum	80.725	105560	Proteobacteria	Betaproteobacteria	Burkholderiales		Methylibium	Methylibium petroleiphilum
SAMN02441375	Spirosoma aerolatum	80.782	1211326	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Spirosoma	Spirosoma aerolatum
SAMN05421830	Desulfomicrobium baculatum	80.809	899	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfomicrobiaceae	Desulfomicrobium	Desulfomicrobium baculatum
SAMN05421678	Actinopolymorpha singaporensis	80.817	117157	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Actinopolymorpha	Actinopolymorpha singaporensis
SAMN02441025	Kangiella profundi	81.211	1561924	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Kangiellaceae	Kangiella	Kangiella profundi
SAMN06468391	Shigella dysenteriae	81.501	622	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella dysenteriae
SAMN00778811	Cloacibacillus porcorum	81.541	1197717	Synergistetes	Synergistia	Synergistales	Synergistaceae	Cloacibacillus	Cloacibacillus porcorum
SAMN07621227	Dyadobacter fermentans	82.203	94254	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Dyadobacter	Dyadobacter fermentans
SAMN05720377	Gallionella capsiferriformans	82.743	370405	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Gallionellaceae	Gallionella	Gallionella capsiferriformans
SAMN03840601	Anoxybacillus flavithermus	83.032	33934	Firmicutes	Bacilli	Bacillales	Bacillaceae	Anoxybacillus	Anoxybacillus flavithermus
SAMN05860954	Paucimonas lemoignei	84.222	29443	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paucimonas	Paucimonas lemoignei
